province_name,year,month,date,rainfall_mm
Soc Trang,2020.0,1.0,2020-01-01,0.7172544504041958
Tra Vinh,2020.0,1.0,2020-01-01,0.774970426458581
Vinh Long,2020.0,1.0,2020-01-01,1.785697504014168
Bac Lieu,2020.0,1.0,2020-01-01,4.998311269989964
Ca Mau,2020.0,1.0,2020-01-01,7.398649494535424
Can Tho city,2020.0,1.0,2020-01-01,6.9835745664124165
Hau Giang,2020.0,1.0,2020-01-01,5.709187711234945
An Giang,2020.0,1.0,2020-01-01,7.956520706373068
Ben Tre,2020.0,1.0,2020-01-01,0.26457105828406124
Dong Thap,2020.0,1.0,2020-01-01,7.146864374942806
Kien Giang,2020.0,1.0,2020-01-01,9.628419761285405
Long An,2020.0,1.0,2020-01-01,6.799713444484361
Tien Giang,2020.0,1.0,2020-01-01,2.10091758580502
Soc Trang,2020.0,2.0,2020-02-01,2.2464283523754953
Tra Vinh,2020.0,2.0,2020-02-01,0.3696481735626741
Vinh Long,2020.0,2.0,2020-02-01,0.15393846821645704
Bac Lieu,2020.0,2.0,2020-02-01,0.6213219773520525
Ca Mau,2020.0,2.0,2020-02-01,0.8290618050251908
Can Tho city,2020.0,2.0,2020-02-01,0.6534083778021298
Hau Giang,2020.0,2.0,2020-02-01,1.2406777516876206
An Giang,2020.0,2.0,2020-02-01,1.0868730161639868
Ben Tre,2020.0,2.0,2020-02-01,1.9060762108228217
Dong Thap,2020.0,2.0,2020-02-01,0.21552154750652558
Kien Giang,2020.0,2.0,2020-02-01,1.6622276696570304
Long An,2020.0,2.0,2020-02-01,0.37934982890116214
Tien Giang,2020.0,2.0,2020-02-01,1.7593881458071639
Soc Trang,2020.0,3.0,2020-03-01,8.702472483880312
Tra Vinh,2020.0,3.0,2020-03-01,4.892881892929053
Vinh Long,2020.0,3.0,2020-03-01,3.8141596658274284
Bac Lieu,2020.0,3.0,2020-03-01,13.242444836742965
Ca Mau,2020.0,3.0,2020-03-01,24.05512932220665
Can Tho city,2020.0,3.0,2020-03-01,8.924084048529062
Hau Giang,2020.0,3.0,2020-03-01,11.624599942128947
An Giang,2020.0,3.0,2020-03-01,16.58136032710398
Ben Tre,2020.0,3.0,2020-03-01,5.161679109836435
