province_name,year,month,date,rainfall_mm
Soc Trang,1981.0,1.0,1981-01-01,12.606986395051592
Tra Vinh,1981.0,1.0,1981-01-01,8.531398580645753
Vinh Long,1981.0,1.0,1981-01-01,9.695430629944184
Bac Lieu,1981.0,1.0,1981-01-01,16.711284404372282
Ca Mau,1981.0,1.0,1981-01-01,20.44025285836587
Can Tho city,1981.0,1.0,1981-01-01,14.037721406711285
Hau Giang,1981.0,1.0,1981-01-01,15.555215741841796
An Giang,1981.0,1.0,1981-01-01,13.174241174998302
Ben Tre,1981.0,1.0,1981-01-01,7.75942062032305
Dong Thap,1981.0,1.0,1981-01-01,13.274661990541212
Kien Giang,1981.0,1.0,1981-01-01,16.684852186025953
Long An,1981.0,1.0,1981-01-01,13.576381936170506
Tien Giang,1981.0,1.0,1981-01-01,9.271732960606053
Soc Trang,1981.0,2.0,1981-02-01,6.5845452697029305
Tra Vinh,1981.0,2.0,1981-02-01,5.60294950317336
Vinh Long,1981.0,2.0,1981-02-01,5.478796257654346
Bac Lieu,1981.0,2.0,1981-02-01,3.4217481112551775
Ca Mau,1981.0,2.0,1981-02-01,0.49952606584492354
Can Tho city,1981.0,2.0,1981-02-01,4.622353673219435
Hau Giang,1981.0,2.0,1981-02-01,5.123075494295672
An Giang,1981.0,2.0,1981-02-01,9.007776092853302
Ben Tre,1981.0,2.0,1981-02-01,7.03591647868024
Dong Thap,1981.0,2.0,1981-02-01,7.329685232663105
Kien Giang,1981.0,2.0,1981-02-01,9.512259022501343
Long An,1981.0,2.0,1981-02-01,9.118020641415887
Tien Giang,1981.0,2.0,1981-02-01,7.633041653863253
Soc Trang,1981.0,3.0,1981-03-01,6.854211595132467
Tra Vinh,1981.0,3.0,1981-03-01,4.183345014390378
Vinh Long,1981.0,3.0,1981-03-01,5.260008273408625
Bac Lieu,1981.0,3.0,1981-03-01,12.067879298629991
Ca Mau,1981.0,3.0,1981-03-01,16.60978032265788
Can Tho city,1981.0,3.0,1981-03-01,18.915130441516506
Hau Giang,1981.0,3.0,1981-03-01,18.26185522909941
An Giang,1981.0,3.0,1981-03-01,17.793778043804295
Ben Tre,1981.0,3.0,1981-03-01,6.168472922277021
Dong Thap,1981.0,3.0,1981-03-01,14.070057921638819
Kien Giang,1981.0,3.0,1981-03-01,22.005335262719132
Long An,1981.0,3.0,1981-03-01,14.045460465418525
Tien Giang,1981.0,3.0,1981-03-01,8.908024285945494
Soc Trang,1981.0,4.0,1981-04-01,30.744100743864532
Tra Vinh,1981.0,4.0,1981-04-01,17.154433576352577
Vinh Long,1981.0,4.0,1981-04-01,30.311293228510745
Bac Lieu,1981.0,4.0,1981-04-01,29.716777647795826
Ca Mau,1981.0,4.0,1981-04-01,39.419715340428006
Can Tho city,1981.0,4.0,1981-04-01,48.404727809280516
Hau Giang,1981.0,4.0,1981-04-01,48.454616661368675
An Giang,1981.0,4.0,1981-04-01,75.174427308475
Ben Tre,1981.0,4.0,1981-04-01,15.453644554966585
Dong Thap,1981.0,4.0,1981-04-01,55.48853225422354
Kien Giang,1981.0,4.0,1981-04-01,69.69470656764564
Long An,1981.0,4.0,1981-04-01,42.902216780256815
Tien Giang,1981.0,4.0,1981-04-01,23.209029864550864
Soc Trang,1981.0,5.0,1981-05-01,171.3688742746187
Tra Vinh,1981.0,5.0,1981-05-01,151.63608383497106
Vinh Long,1981.0,5.0,1981-05-01,145.40931100835158
Bac Lieu,1981.0,5.0,1981-05-01,214.2618055380072
Ca Mau,1981.0,5.0,1981-05-01,232.9591087752302
Can Tho city,1981.0,5.0,1981-05-01,158.69138772274928
Hau Giang,1981.0,5.0,1981-05-01,170.9035895661926
An Giang,1981.0,5.0,1981-05-01,183.91350320407494
Ben Tre,1981.0,5.0,1981-05-01,136.06928212297169
Dong Thap,1981.0,5.0,1981-05-01,162.40574522904186
Kien Giang,1981.0,5.0,1981-05-01,217.45875570931665
Long An,1981.0,5.0,1981-05-01,184.6761895044925
Tien Giang,1981.0,5.0,1981-05-01,139.37821010504297
Soc Trang,1981.0,6.0,1981-06-01,276.1447310960999
Tra Vinh,1981.0,6.0,1981-06-01,240.34270667613427
Vinh Long,1981.0,6.0,1981-06-01,232.0485779379234
Bac Lieu,1981.0,6.0,1981-06-01,323.4665892605292
Ca Mau,1981.0,6.0,1981-06-01,349.7703142523566
Can Tho city,1981.0,6.0,1981-06-01,205.5449399393425
Hau Giang,1981.0,6.0,1981-06-01,279.2324515312638
An Giang,1981.0,6.0,1981-06-01,163.86997658342085
Ben Tre,1981.0,6.0,1981-06-01,195.74421291884178
Dong Thap,1981.0,6.0,1981-06-01,149.6016870976495
Kien Giang,1981.0,6.0,1981-06-01,310.3742205960825
Long An,1981.0,6.0,1981-06-01,208.09487947359113
Tien Giang,1981.0,6.0,1981-06-01,196.74986830869207
Soc Trang,1981.0,7.0,1981-07-01,250.50699092784555
Tra Vinh,1981.0,7.0,1981-07-01,268.6147999807733
Vinh Long,1981.0,7.0,1981-07-01,282.37881678587286
Bac Lieu,1981.0,7.0,1981-07-01,237.72197715739946
Ca Mau,1981.0,7.0,1981-07-01,254.9677735388602
Can Tho city,1981.0,7.0,1981-07-01,264.8699111820705
Hau Giang,1981.0,7.0,1981-07-01,293.327635589689
An Giang,1981.0,7.0,1981-07-01,267.4174334437105
Ben Tre,1981.0,7.0,1981-07-01,260.59371949919716
Dong Thap,1981.0,7.0,1981-07-01,234.94784849191987
Kien Giang,1981.0,7.0,1981-07-01,320.7040861908378
Long An,1981.0,7.0,1981-07-01,298.5049863355208
Tien Giang,1981.0,7.0,1981-07-01,289.8706384849294
Soc Trang,1981.0,8.0,1981-08-01,267.3654032908203
Tra Vinh,1981.0,8.0,1981-08-01,241.90575415016212
Vinh Long,1981.0,8.0,1981-08-01,215.28291605591258
Bac Lieu,1981.0,8.0,1981-08-01,296.27687074244307
Ca Mau,1981.0,8.0,1981-08-01,297.1240073415721
Can Tho city,1981.0,8.0,1981-08-01,227.93064363790387
Hau Giang,1981.0,8.0,1981-08-01,274.99380029120897
An Giang,1981.0,8.0,1981-08-01,171.21050542249017
Ben Tre,1981.0,8.0,1981-08-01,216.4261742516233
Dong Thap,1981.0,8.0,1981-08-01,165.17058484571595
Kien Giang,1981.0,8.0,1981-08-01,293.443200424835
Long An,1981.0,8.0,1981-08-01,203.8482551395086
Tien Giang,1981.0,8.0,1981-08-01,221.32235009546537
Soc Trang,1981.0,9.0,1981-09-01,368.0382792279824
Tra Vinh,1981.0,9.0,1981-09-01,323.03745743912873
Vinh Long,1981.0,9.0,1981-09-01,289.7749900158068
Bac Lieu,1981.0,9.0,1981-09-01,423.80763064965055
Ca Mau,1981.0,9.0,1981-09-01,461.22696450893324
Can Tho city,1981.0,9.0,1981-09-01,257.0771706315348
Hau Giang,1981.0,9.0,1981-09-01,366.7625700563982
An Giang,1981.0,9.0,1981-09-01,193.03881205878474
Ben Tre,1981.0,9.0,1981-09-01,282.3253978420385
Dong Thap,1981.0,9.0,1981-09-01,196.04639858645183
Kien Giang,1981.0,9.0,1981-09-01,333.91210021682815
Long An,1981.0,9.0,1981-09-01,247.90216321160213
Tien Giang,1981.0,9.0,1981-09-01,268.52864914343405
Soc Trang,1981.0,10.0,1981-10-01,268.5688569206265
Tra Vinh,1981.0,10.0,1981-10-01,282.4697056250143
Vinh Long,1981.0,10.0,1981-10-01,260.8553841639221
Bac Lieu,1981.0,10.0,1981-10-01,256.8992102707768
Ca Mau,1981.0,10.0,1981-10-01,253.15328238519365
Can Tho city,1981.0,10.0,1981-10-01,237.11213220033895
Hau Giang,1981.0,10.0,1981-10-01,263.95456296199694
An Giang,1981.0,10.0,1981-10-01,220.3305926763769
Ben Tre,1981.0,10.0,1981-10-01,305.6111524569144
Dong Thap,1981.0,10.0,1981-10-01,234.76653607898382
Kien Giang,1981.0,10.0,1981-10-01,239.81007316248522
Long An,1981.0,10.0,1981-10-01,261.6649015023748
Tien Giang,1981.0,10.0,1981-10-01,284.6379576531152
Soc Trang,1981.0,11.0,1981-11-01,265.16510342821687
Tra Vinh,1981.0,11.0,1981-11-01,219.1199677604764
Vinh Long,1981.0,11.0,1981-11-01,206.79190529932978
Bac Lieu,1981.0,11.0,1981-11-01,252.38512861385982
Ca Mau,1981.0,11.0,1981-11-01,252.51674305675164
Can Tho city,1981.0,11.0,1981-11-01,192.6622419102681
Hau Giang,1981.0,11.0,1981-11-01,230.39292126294484
An Giang,1981.0,11.0,1981-11-01,170.80765547966254
Ben Tre,1981.0,11.0,1981-11-01,170.5239777499078
Dong Thap,1981.0,11.0,1981-11-01,191.979818995952
Kien Giang,1981.0,11.0,1981-11-01,195.24901561239938
Long An,1981.0,11.0,1981-11-01,172.68468444408848
Tien Giang,1981.0,11.0,1981-11-01,166.46355985324325
Soc Trang,1981.0,12.0,1981-12-01,53.786394796910415
Tra Vinh,1981.0,12.0,1981-12-01,48.65933355768585
Vinh Long,1981.0,12.0,1981-12-01,55.735141909284955
Bac Lieu,1981.0,12.0,1981-12-01,59.848526352136055
Ca Mau,1981.0,12.0,1981-12-01,74.97042493975458
Can Tho city,1981.0,12.0,1981-12-01,51.5132880881947
Hau Giang,1981.0,12.0,1981-12-01,58.47400092495202
An Giang,1981.0,12.0,1981-12-01,35.91137503261942
Ben Tre,1981.0,12.0,1981-12-01,48.67417645214041
Dong Thap,1981.0,12.0,1981-12-01,41.1079576220131
Kien Giang,1981.0,12.0,1981-12-01,40.591810288630604
Long An,1981.0,12.0,1981-12-01,46.074062242141046
Tien Giang,1981.0,12.0,1981-12-01,48.059462501294156
Soc Trang,1982.0,1.0,1982-01-01,6.738887433970276
Tra Vinh,1982.0,1.0,1982-01-01,4.61258958369982
Vinh Long,1982.0,1.0,1982-01-01,6.420594221398083
Bac Lieu,1982.0,1.0,1982-01-01,8.779857278211274
Ca Mau,1982.0,1.0,1982-01-01,14.530522054601775
Can Tho city,1982.0,1.0,1982-01-01,6.843206198479116
Hau Giang,1982.0,1.0,1982-01-01,7.335838221248506
An Giang,1982.0,1.0,1982-01-01,7.544376693786636
Ben Tre,1982.0,1.0,1982-01-01,5.517965620658438
Dong Thap,1982.0,1.0,1982-01-01,8.824571073727833
Kien Giang,1982.0,1.0,1982-01-01,8.740895606891725
Long An,1982.0,1.0,1982-01-01,10.504935110017458
Tien Giang,1982.0,1.0,1982-01-01,6.918405205118131
Soc Trang,1982.0,2.0,1982-02-01,7.155298099899315
Tra Vinh,1982.0,2.0,1982-02-01,4.009006473995437
Vinh Long,1982.0,2.0,1982-02-01,5.501312226538127
Bac Lieu,1982.0,2.0,1982-02-01,6.191179105141185
Ca Mau,1982.0,2.0,1982-02-01,3.3598980176023954
Can Tho city,1982.0,2.0,1982-02-01,5.6170943838376415
Hau Giang,1982.0,2.0,1982-02-01,5.8649768502648305
An Giang,1982.0,2.0,1982-02-01,8.467467928176312
Ben Tre,1982.0,2.0,1982-02-01,5.911184766738267
Dong Thap,1982.0,2.0,1982-02-01,5.81895647057873
Kien Giang,1982.0,2.0,1982-02-01,8.04902573706258
Long An,1982.0,2.0,1982-02-01,7.321450581874244
Tien Giang,1982.0,2.0,1982-02-01,7.052670268358318
Soc Trang,1982.0,3.0,1982-03-01,23.77959966427729
Tra Vinh,1982.0,3.0,1982-03-01,13.970150959498891
Vinh Long,1982.0,3.0,1982-03-01,19.0178078220355
Bac Lieu,1982.0,3.0,1982-03-01,27.492219562516734
Ca Mau,1982.0,3.0,1982-03-01,44.55792425389744
Can Tho city,1982.0,3.0,1982-03-01,39.027711962093136
Hau Giang,1982.0,3.0,1982-03-01,39.002036255364224
An Giang,1982.0,3.0,1982-03-01,62.56714926393407
Ben Tre,1982.0,3.0,1982-03-01,14.06396710326773
Dong Thap,1982.0,3.0,1982-03-01,52.002647099121276
Kien Giang,1982.0,3.0,1982-03-01,51.62206858419351
Long An,1982.0,3.0,1982-03-01,45.51366027567016
Tien Giang,1982.0,3.0,1982-03-01,22.584885449051132
Soc Trang,1982.0,4.0,1982-04-01,60.023920900192394
Tra Vinh,1982.0,4.0,1982-04-01,32.24808869262237
Vinh Long,1982.0,4.0,1982-04-01,32.85842567952941
Bac Lieu,1982.0,4.0,1982-04-01,82.70809280825658
Ca Mau,1982.0,4.0,1982-04-01,109.27677687716854
Can Tho city,1982.0,4.0,1982-04-01,77.38316723061067
Hau Giang,1982.0,4.0,1982-04-01,79.71946122923113
An Giang,1982.0,4.0,1982-04-01,109.94709321104071
Ben Tre,1982.0,4.0,1982-04-01,25.40920291082496
Dong Thap,1982.0,4.0,1982-04-01,75.27810286299447
Kien Giang,1982.0,4.0,1982-04-01,135.37339752487267
Long An,1982.0,4.0,1982-04-01,61.75894291947266
Tien Giang,1982.0,4.0,1982-04-01,32.330792209450735
Soc Trang,1982.0,5.0,1982-05-01,169.75515506576426
Tra Vinh,1982.0,5.0,1982-05-01,133.06257422043845
