province_name,year,month,rainfall_mm_from_daily,mean_daily_rainfall,max_1day_rainfall,rain_days_count,dry_days_count,heavy_rain_days_20mm,heavy_rain_days_50mm,days_observed,max_consecutive_dry_days,max_consecutive_wet_days,rain_day_ratio,dry_day_ratio
An Giang,1981,1,13.195502122203298,0.4256613587807515,10.06821203106134,2,29,0,0,31,28,1,0.06451612903225806,0.9354838709677419
An Giang,1981,2,8.973265503021832,0.32047376796506544,8.637634756085507,1,27,0,0,28,15,1,0.03571428571428571,0.9642857142857143
An Giang,1981,3,17.681244828197467,0.5703627363934667,11.562048789331088,2,29,0,0,31,29,2,0.06451612903225806,0.9354838709677419
An Giang,1981,4,75.35170387045294,2.511723462348431,10.499772937875097,16,14,0,0,30,9,12,0.5333333333333333,0.4666666666666667
An Giang,1981,5,183.15780536634742,5.908316302140239,13.57720718147204,28,3,0,0,31,1,12,0.9032258064516129,0.0967741935483871
An Giang,1981,6,164.7558545415934,5.491861818053113,21.58070468718606,24,6,1,0,30,1,7,0.8,0.2
An Giang,1981,7,268.428664781398,8.65898918649671,28.031871974712796,27,4,3,0,31,2,18,0.8709677419354839,0.12903225806451613
An Giang,1981,8,170.80106480467617,5.50971176789278,31.060828892921588,20,11,1,0,31,5,7,0.6451612903225806,0.3548387096774194
An Giang,1981,9,192.15950906423922,6.405316968807974,17.193080939025556,22,8,0,0,30,3,19,0.7333333333333333,0.26666666666666666
An Giang,1981,10,222.6246347139022,7.181439829480716,27.121487963560128,25,6,2,0,31,2,9,0.8064516129032258,0.1935483870967742
An Giang,1981,11,169.39288872064776,5.646429624021592,32.11948527143925,20,10,3,0,30,3,6,0.6666666666666666,0.3333333333333333
An Giang,1981,12,35.94851087122459,1.1596293829427287,10.238404337279192,8,23,0,0,31,23,8,0.25806451612903225,0.7419354838709677
An Giang,1982,1,7.493288842996165,0.24171899493536017,5.323264655971536,2,29,0,0,31,21,1,0.06451612903225806,0.9354838709677419
An Giang,1982,2,8.47000214266647,0.3025000765238025,4.920915625903398,3,25,0,0,28,12,2,0.10714285714285714,0.8928571428571429
An Giang,1982,3,62.153436125191256,2.0049495524255243,19.51012680631155,6,25,0,0,31,23,4,0.1935483870967742,0.8064516129032258
An Giang,1982,4,109.18768983978465,3.639589661326155,15.458031054848847,21,9,0,0,30,2,9,0.7,0.3
An Giang,1982,5,141.81839986924544,4.574787092556305,16.980798688151378,23,8,0,0,31,2,9,0.7419354838709677,0.25806451612903225
An Giang,1982,6,191.9727521204279,6.3990917373475975,23.18148715099012,23,7,1,0,30,2,9,0.7666666666666667,0.23333333333333334
An Giang,1982,7,133.51894190354645,4.307062642049885,17.48745542437675,20,11,0,0,31,2,7,0.6451612903225806,0.3548387096774194
An Giang,1982,8,197.902857939873,6.383963159350742,20.71694032674872,20,11,2,0,31,4,6,0.6451612903225806,0.3548387096774194
An Giang,1982,9,115.60145965534439,3.8533819885114795,20.46005185733647,21,9,1,0,30,2,6,0.7,0.3
An Giang,1982,10,253.69994384658193,8.183869156341352,23.09958867112266,28,3,2,0,31,1,13,0.9032258064516129,0.0967741935483871
An Giang,1982,11,164.4151945583209,5.480506485277363,30.041358256189103,21,9,3,0,30,4,13,0.7,0.3
An Giang,1982,12,25.50379842305168,0.822703174937151,13.145983219146723,4,27,0,0,31,12,3,0.12903225806451613,0.8709677419354839
An Giang,1983,1,6.852134173856989,0.22103658625345124,2.545985075580949,3,28,0,0,31,21,1,0.0967741935483871,0.9032258064516129
An Giang,1983,2,5.8314242107344825,0.20826515038337437,3.187721858350971,2,26,0,0,28,17,1,0.07142857142857142,0.9285714285714286
An Giang,1983,3,11.94782710187452,0.3854137774798232,5.328209295125901,3,28,0,0,31,24,1,0.0967741935483871,0.9032258064516129
An Giang,1983,4,18.6252738804,0.6208424626800001,11.511614244107244,2,28,0,0,30,22,1,0.06666666666666667,0.9333333333333333
