province_name,year,month,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore,water_area_km2,province_area_km2_x,water_area_pct,population_total,province_area_km2_y,population_density_per_km2,cropland_area_km2,cropland_pct
An Giang,1981,1,13.174241174998302,11.738263733567123,1.435977441431179,0.2237203350188166,,,,,,,,
An Giang,1981,2,9.007776092853302,7.993766770413151,1.0140093224401507,0.1472713792562175,,,,,,,,
An Giang,1981,3,17.793778043804295,36.708939552375234,-18.91516150857094,-0.5364840516619717,,,,,,,,
An Giang,1981,4,75.174427308475,87.46122282071849,-12.286795512243486,-0.2149222073568567,,,,,,,,
An Giang,1981,5,183.9135032040749,160.90414112279777,23.009362081277143,0.4478722449363265,,,,,,,,
An Giang,1981,6,163.86997658342085,164.48686055884076,-0.6168839754199098,-0.0159331656816703,,,,,,,,
An Giang,1981,7,267.4174334437105,201.0466543748563,66.37077906885418,1.3578468754630968,,,,,,,,
An Giang,1981,8,171.21050542249017,161.81253524050075,9.397970181989422,0.2360086118849136,,,,,,,,
An Giang,1981,9,193.0388120587848,197.52043749205163,-4.481625433266856,-0.1207557697088279,,,,,,,,
An Giang,1981,10,220.3305926763769,266.69010025401894,-46.359507577642034,-0.6541216699380523,,,,,,,,
An Giang,1981,11,170.80765547966254,145.29376415754825,25.51389132211429,0.3693935475021376,,,,,,,,
An Giang,1981,12,35.91137503261942,38.958010420002815,-3.0466353873833967,-0.1072073650409176,,,,,,,,
An Giang,1982,1,7.544376693786636,11.738263733567123,-4.193887039780488,-0.6533931428864518,,,,,,,,
An Giang,1982,2,8.467467928176312,7.993766770413151,0.4737011577631609,0.0687987983100277,,,,,,,,
An Giang,1982,3,62.56714926393407,36.708939552375234,25.858209711558835,0.7334072779921037,,,,,,,,
An Giang,1982,4,109.94709321104072,87.46122282071849,22.485870390322237,0.3933257368703305,,,,,,,,
An Giang,1982,5,141.40902162799233,160.90414112279777,-19.49511949480544,-0.3794682748091127,,,,,,,,
An Giang,1982,6,191.37150637455167,164.48686055884076,26.88464581571091,0.6943891122851206,,,,,,,,
An Giang,1982,7,133.66226726365528,201.0466543748563,-67.38438711120102,-1.378583780055057,,,,,,,,
An Giang,1982,8,199.03547794654853,161.81253524050075,37.222942706047775,0.9347694095860982,,,,,,,,
An Giang,1982,9,115.7248384786739,197.52043749205163,-81.79559901337772,-2.203952709732611,,,,,,,,
An Giang,1982,10,253.7965006353985,266.69010025401894,-12.893599618620442,-0.1819256362876495,,,,,,,,
An Giang,1982,11,165.56828245998344,145.29376415754825,20.274518302435183,0.2935372007774518,,,,,,,,
An Giang,1982,12,24.52758889664205,38.958010420002815,-14.430421523360764,-0.5077888461336144,,,,,,,,
An Giang,1983,1,7.01984369334689,11.738263733567123,-4.718420040220233,-0.7351135760917593,,,,,,,,
An Giang,1983,2,5.775187866498095,7.993766770413151,-2.218578903915056,-0.3222191038461602,,,,,,,,
An Giang,1983,3,11.963435280917064,36.708939552375234,-24.74550427145817,-0.7018480062121071,,,,,,,,
An Giang,1983,4,18.33736252957045,87.46122282071849,-69.12386029114805,-1.2091234545245444,,,,,,,,
An Giang,1983,5,131.54193789836867,160.90414112279777,-29.36220322442909,-0.5715289206171585,,,,,,,,
An Giang,1983,6,138.46232618202836,164.48686055884076,-26.0245343768124,-0.6721737547677828,,,,,,,,
An Giang,1983,7,228.270213584144,201.0466543748563,27.22355920928769,0.5569533058059682,,,,,,,,
An Giang,1983,8,265.33401808702047,161.81253524050075,103.52148284651972,2.599706212485887,,,,,,,,
An Giang,1983,9,203.4757829925545,197.52043749205163,5.955345500502887,0.1604646217100335,,,,,,,,
An Giang,1983,10,367.5689573580641,266.69010025401894,100.87885710404515,1.42337677680951,,,,,,,,
An Giang,1983,11,229.2779081975905,145.29376415754825,83.98414404004225,1.2159337244645312,,,,,,,,
An Giang,1983,12,31.57853125025559,38.958010420002815,-7.379479169747224,-0.259674827003964,,,,,,,,
An Giang,1984,1,17.291827279065004,11.738263733567123,5.55356354549788,0.8652260551591809,,,,,,,,
An Giang,1984,2,7.859783729953928,7.993766770413151,-0.1339830404592232,-0.0194592561712232,,,,,,,,
An Giang,1984,3,30.762159906079123,36.708939552375234,-5.946779646296111,-0.1686664127895632,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,4,114.83720434392843,87.46122282071849,27.375981523209944,0.4788641897446603,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,5,225.4758617957381,160.90414112279777,64.57172067294033,1.2568745450237175,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,6,98.14585955710967,164.48686055884076,-66.34100100173109,-1.7134861701163986,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,7,164.3686847261159,201.0466543748563,-36.6779696487404,-0.7503764033597662,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,8,94.09563162618063,161.81253524050075,-67.71690361432012,-1.7005557704139322,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,9,185.2788850810201,197.52043749205163,-12.241552411031536,-0.3298441839543734,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,10,194.8178810066224,266.69010025401894,-71.87221924739654,-1.0140999879587609,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,11,155.85586962671655,145.29376415754825,10.5621054691683,0.1529195824772562,0.0,3540.966155975497,0.0,,,,,
An Giang,1984,12,40.24589431831309,38.958010420002815,1.2878838983102767,0.0453190558306525,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,1,6.377928291037216,11.738263733567123,-5.360335442529907,-0.8351217828469636,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,2,10.891089805418764,7.993766770413151,2.8973230350056127,0.4207976692850091,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,3,33.14478499714982,36.708939552375234,-3.5641545552254144,-0.1010888580396406,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,4,186.6397396994374,87.46122282071849,99.17851687871892,1.7348433730107258,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,5,204.0443458159181,160.90414112279777,43.14020469312032,0.8397147324063498,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,6,157.59109336640148,164.48686055884076,-6.89576719243928,-0.1781070761395169,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,7,175.76024414600718,201.0466543748563,-25.28641022884912,-0.5173221348705441,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,8,95.43673841655414,161.81253524050075,-66.37579682394662,-1.6668769285091072,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,9,220.8412650024135,197.52043749205163,23.32082751036188,0.6283712278488566,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,10,251.4353405200792,266.69010025401894,-15.25475973393975,-0.2152410461857619,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,11,126.65531395101873,145.29376415754825,-18.638450206529527,-0.2698499870054847,0.0,3540.966155975497,0.0,,,,,
An Giang,1985,12,18.02047229855492,38.958010420002815,-20.937538121447897,-0.7367663034899686,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,1,8.543611445668962,11.738263733567123,-3.194652287898162,-0.4977158132824743,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,2,3.3880542065997235,7.993766770413151,-4.605712563813428,-0.6689185461315396,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,3,12.001231827041844,36.708939552375234,-24.707707725333396,-0.700775996110863,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,4,59.00957586581379,87.46122282071849,-28.451646954904703,-0.4976798678217418,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,5,217.23721441490184,160.90414112279777,56.33307329210408,1.0965110597319463,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,6,183.1730901736589,164.48686055884076,18.68622961481813,0.4826366128508501,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,7,158.3625269142354,201.0466543748563,-42.684127460620914,-0.8732534093677811,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,8,218.8251537999542,161.81253524050075,57.01261855945344,1.4317420363736817,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,9,226.78023864059207,197.52043749205163,29.259801148540447,0.7883947156743256,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,10,236.7083113695367,266.69010025401894,-29.981788884482256,-0.4230359388525061,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,11,86.05652818740316,145.29376415754825,-59.23723597014509,-0.8576446635667418,0.0,3540.966155975497,0.0,,,,,
An Giang,1986,12,6.752305050218071,38.958010420002815,-32.205705369784745,-1.1332792976399113,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,1,6.400085650394953,11.738263733567123,-5.338178083172171,-0.8316697426438079,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,2,2.1609850915997275,7.993766770413151,-5.832781678813424,-0.847134028977282,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,3,14.432223332652496,36.708939552375234,-22.276716219722736,-0.6318266418114097,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,4,29.148759703074635,87.46122282071849,-58.31246311764386,-1.0200091046661308,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,5,58.65676378697536,160.90414112279777,-102.2473773358224,-1.9902230346276792,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,6,185.68383064817817,164.48686055884076,21.19697008933741,0.5474851833408856,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,7,189.6843172057,201.0466543748563,-11.36233716915629,-0.2324564249440477,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,8,220.0281956255008,161.81253524050075,58.215660385000064,1.461953691208561,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,9,167.0980317568523,197.52043749205163,-30.422405735199334,-0.8197206740390947,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,10,238.34271941318704,266.69010025401894,-28.347380840831903,-0.3999748285272456,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,11,215.32676597866416,145.29376415754825,70.0330018211159,1.0139472124545323,0.0,3540.966155975497,0.0,,,,,
An Giang,1987,12,8.41712459439869,38.958010420002815,-30.540885825604125,-1.0746963384386417,164.73947162418466,3540.966155975497,4.652387635679076,,,,,
An Giang,1988,1,9.22395295324811,11.738263733567123,-2.514310780319013,-0.3917209517955721,69.8376771780895,3540.966155975497,1.9722774548476305,,,,,
An Giang,1988,2,19.04140680590449,7.993766770413151,11.04764003549134,1.6045229067891993,49.09679958115376,3540.966155975497,1.3865368212656113,,,,,
An Giang,1988,3,25.40393270058853,36.708939552375234,-11.305006851786704,-0.3206399203710048,37.20208001132075,3540.966155975497,1.0506194742511454,,,,,
An Giang,1988,4,76.40726426234063,87.46122282071849,-11.053958558377856,-0.1933572647994686,0.0,3540.966155975497,0.0,,,,,
An Giang,1988,5,228.750999422193,160.90414112279777,67.84685829939522,1.3206243889374418,38.476848967451694,3540.966155975497,1.0866200712627752,,,,,
An Giang,1988,6,83.15445357473494,164.48686055884076,-81.33240698410582,-2.1006911630095426,76.19074660974408,3540.966155975497,2.1516937257694395,,,,,
An Giang,1988,7,235.7240980779422,201.0466543748563,34.677443703085885,0.7094486345027546,25.932848483253515,3540.966155975497,0.7323664599135177,,,,,
An Giang,1988,8,89.95244717940976,161.81253524050075,-71.86008806109099,-1.8046024093295887,84.66084279929389,3540.966155975497,2.390896695141408,,,,,
An Giang,1988,9,224.70285358192243,197.52043749205163,27.1824160898708,0.7324203297117727,510.2226897998912,3540.966155975497,14.409137713413998,,,,,
An Giang,1988,10,253.31353545998,266.69010025401894,-13.376564794038984,-0.1887401605044482,1005.894201671132,3540.966155975497,28.40733735829845,,,,,
An Giang,1988,11,91.51554080236606,145.29376415754825,-53.77822335518219,-0.7786083452630641,682.0571382548742,3540.966155975497,19.26189373778341,,,,,
An Giang,1988,12,2.695415061791945,38.958010420002815,-36.26259535821087,-1.2760362838290535,295.5157342035287,3540.966155975497,8.345624363137055,,,,,
An Giang,1989,1,7.492973734867105,11.738263733567123,-4.245289998700018,-0.6614015466807165,50.23124724791015,3540.966155975497,1.418574621594258,,,,,
