province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Soc Trang,1981,1,1981-01-01,12.606986395051592,9.250562914400108,3.3564234806514843,0.4787569214814398
Tra Vinh,1981,1,1981-01-01,8.531398580645753,6.528299865058275,2.0030987155874778,0.36401732905485623
Vinh Long,1981,1,1981-01-01,9.695430629944184,7.46568326195543,2.229747367988754,0.37430023418554287
Bac Lieu,1981,1,1981-01-01,16.711284404372282,13.736892747853481,2.974391656518801,0.3661595957201745
Ca Mau,1981,1,1981-01-01,20.44025285836587,17.57674676145969,2.8635060969061783,0.30210303461294724
Can Tho city,1981,1,1981-01-01,14.037721406711285,11.48439278185302,2.553328624858265,0.3735009711917842
Hau Giang,1981,1,1981-01-01,15.555215741841796,12.050937903884492,3.5042778379573036,0.4555445490018916
An Giang,1981,1,1981-01-01,13.174241174998302,11.738263733567123,1.435977441431179,0.22372033501881664
Ben Tre,1981,1,1981-01-01,7.75942062032305,6.4824690934152915,1.2769515269077587,0.2351851106348648
Dong Thap,1981,1,1981-01-01,13.274661990541212,11.600486686269152,1.67417530427206,0.27090196550390666
Kien Giang,1981,1,1981-01-01,16.684852186025953,15.02053749226069,1.664314693765263,0.1876543657954187
Long An,1981,1,1981-01-01,13.576381936170506,12.537217401940406,1.0391645342300997,0.1566783477447691
Tien Giang,1981,1,1981-01-01,9.271732960606052,7.549819935114067,1.7219130254919843,0.3318909169437428
Soc Trang,1981,2,1981-02-01,6.5845452697029305,5.032612383874859,1.5519328858280712,0.485685035200146
Tra Vinh,1981,2,1981-02-01,5.60294950317336,2.8946611959469775,2.708288307226382,1.12028063710938
Vinh Long,1981,2,1981-02-01,5.478796257654346,3.5751496104940355,1.9036466471603104,0.5941230237835315
Bac Lieu,1981,2,1981-02-01,3.421748111255177,4.85432927466342,-1.4325811634082428,-0.3851048992364538
Ca Mau,1981,2,1981-02-01,0.4995260658449235,5.20437234174972,-4.704846275904797,-1.0408127868285266
Can Tho city,1981,2,1981-02-01,4.622353673219435,4.144474186515506,0.4778794867039293,0.12305077623689517
Hau Giang,1981,2,1981-02-01,5.123075494295672,4.623053067777344,0.5000224265183277,0.14187131141249693
An Giang,1981,2,1981-02-01,9.007776092853302,7.993766770413151,1.0140093224401507,0.1472713792562175
Ben Tre,1981,2,1981-02-01,7.03591647868024,4.107758028949911,2.9281584497303283,1.1223556953623983
Dong Thap,1981,2,1981-02-01,7.329685232663105,5.253787973668788,2.075897258994317,0.3917951647110762
