season,n_records,avg_rainfall,median_rainfall,std_rainfall,total_rainfall,avg_anomaly
Rainy season,390,254.12645421115263,240.01720446022256,89.68463120754548,99109.31714234952,-1.0931426704001542e-16
Dry season,390,56.8296057698103,20.10939521983778,69.08144674421607,22163.546250226016,-4.919142016800694e-16
