province_name,date,year,month,day,rainfall_mm
Vinh Long,1981-01-01,1981,1,1,0.0
Vinh Long,1981-01-02,1981,1,2,0.0
Vinh Long,1981-01-03,1981,1,3,0.0
Vinh Long,1981-01-04,1981,1,4,0.0
Vinh Long,1981-01-05,1981,1,5,0.0
Vinh Long,1981-01-06,1981,1,6,0.0
Vinh Long,1981-01-07,1981,1,7,0.0
Vinh Long,1981-01-08,1981,1,8,0.0
Vinh Long,1981-01-09,1981,1,9,0.0
Vinh Long,1981-01-10,1981,1,10,0.0
Vinh Long,1981-01-11,1981,1,11,0.0
Vinh Long,1981-01-12,1981,1,12,0.0
Vinh Long,1981-01-13,1981,1,13,0.0
Vinh Long,1981-01-14,1981,1,14,0.0
Vinh Long,1981-01-15,1981,1,15,0.0
Vinh Long,1981-01-16,1981,1,16,0.0
Vinh Long,1981-01-17,1981,1,17,0.0
Vinh Long,1981-01-18,1981,1,18,0.0
Vinh Long,1981-01-19,1981,1,19,0.0
Vinh Long,1981-01-20,1981,1,20,0.0
Vinh Long,1981-01-21,1981,1,21,0.0
Vinh Long,1981-01-22,1981,1,22,0.0
Vinh Long,1981-01-23,1981,1,23,0.0
Vinh Long,1981-01-24,1981,1,24,0.0
Vinh Long,1981-01-25,1981,1,25,0.0
Vinh Long,1981-01-26,1981,1,26,0.0
Vinh Long,1981-01-27,1981,1,27,0.0
Vinh Long,1981-01-28,1981,1,28,1.3423834166455482
Vinh Long,1981-01-29,1981,1,29,8.272963507984159
Vinh Long,1981-01-30,1981,1,30,0.0
Vinh Long,1981-01-31,1981,1,31,0.0
Vinh Long,1981-02-01,1981,2,1,0.0
Vinh Long,1981-02-02,1981,2,2,0.0
Vinh Long,1981-02-03,1981,2,3,0.0
Vinh Long,1981-02-04,1981,2,4,0.0
Vinh Long,1981-02-05,1981,2,5,0.0
Vinh Long,1981-02-06,1981,2,6,0.0
Vinh Long,1981-02-07,1981,2,7,0.0
Vinh Long,1981-02-08,1981,2,8,0.0
Vinh Long,1981-02-09,1981,2,9,0.0
Vinh Long,1981-02-10,1981,2,10,0.0
Vinh Long,1981-02-11,1981,2,11,0.8406420707462929
Vinh Long,1981-02-12,1981,2,12,0.0
Vinh Long,1981-02-13,1981,2,13,4.692005387124994
Vinh Long,1981-02-14,1981,2,14,0.0
Vinh Long,1981-02-15,1981,2,15,0.0
Vinh Long,1981-02-16,1981,2,16,0.0
Vinh Long,1981-02-17,1981,2,17,0.0
Vinh Long,1981-02-18,1981,2,18,0.0
Vinh Long,1981-02-19,1981,2,19,0.0
Vinh Long,1981-02-20,1981,2,20,0.0
Vinh Long,1981-02-21,1981,2,21,0.0
Vinh Long,1981-02-22,1981,2,22,0.0
Vinh Long,1981-02-23,1981,2,23,0.0
Vinh Long,1981-02-24,1981,2,24,0.0
Vinh Long,1981-02-25,1981,2,25,0.0
Vinh Long,1981-02-26,1981,2,26,0.0
Vinh Long,1981-02-27,1981,2,27,0.0
Vinh Long,1981-02-28,1981,2,28,0.0
Vinh Long,1981-03-01,1981,3,1,0.0
Vinh Long,1981-03-02,1981,3,2,0.0
Vinh Long,1981-03-03,1981,3,3,0.0
Vinh Long,1981-03-04,1981,3,4,0.0
Vinh Long,1981-03-05,1981,3,5,0.0
Vinh Long,1981-03-06,1981,3,6,0.0
Vinh Long,1981-03-07,1981,3,7,0.0
Vinh Long,1981-03-08,1981,3,8,0.0
Vinh Long,1981-03-09,1981,3,9,0.0
Vinh Long,1981-03-10,1981,3,10,0.0
Vinh Long,1981-03-11,1981,3,11,0.0
Vinh Long,1981-03-12,1981,3,12,0.0
Vinh Long,1981-03-13,1981,3,13,0.0
Vinh Long,1981-03-14,1981,3,14,0.0
Vinh Long,1981-03-15,1981,3,15,0.0
Vinh Long,1981-03-16,1981,3,16,0.0
Vinh Long,1981-03-17,1981,3,17,0.0
Vinh Long,1981-03-18,1981,3,18,0.0
Vinh Long,1981-03-19,1981,3,19,0.0
Vinh Long,1981-03-20,1981,3,20,0.0
Vinh Long,1981-03-21,1981,3,21,0.0
Vinh Long,1981-03-22,1981,3,22,0.0
Vinh Long,1981-03-23,1981,3,23,0.0
Vinh Long,1981-03-24,1981,3,24,0.0
Vinh Long,1981-03-25,1981,3,25,0.0
Vinh Long,1981-03-26,1981,3,26,0.0
Vinh Long,1981-03-27,1981,3,27,0.0
Vinh Long,1981-03-28,1981,3,28,0.0
Vinh Long,1981-03-29,1981,3,29,0.0
Vinh Long,1981-03-30,1981,3,30,3.403056197745785
Vinh Long,1981-03-31,1981,3,31,1.4744957312126925
Vinh Long,1981-04-01,1981,4,1,0.0
Vinh Long,1981-04-02,1981,4,2,0.0
Vinh Long,1981-04-03,1981,4,3,0.0
Vinh Long,1981-04-04,1981,4,4,0.0
Vinh Long,1981-04-05,1981,4,5,0.0
Vinh Long,1981-04-06,1981,4,6,0.0
Vinh Long,1981-04-07,1981,4,7,0.0
Vinh Long,1981-04-08,1981,4,8,0.0
Vinh Long,1981-04-09,1981,4,9,0.0
Vinh Long,1981-04-10,1981,4,10,0.0
Vinh Long,1981-04-11,1981,4,11,1.612786651032196
Vinh Long,1981-04-12,1981,4,12,3.100133490020102
Vinh Long,1981-04-13,1981,4,13,3.294278835402342
Vinh Long,1981-04-14,1981,4,14,1.4816975839116755
Vinh Long,1981-04-15,1981,4,15,3.672784001185725
Vinh Long,1981-04-16,1981,4,16,0.175293944657141
Vinh Long,1981-04-17,1981,4,17,3.3991303457841653
Vinh Long,1981-04-18,1981,4,18,1.8497619321482015
Vinh Long,1981-04-19,1981,4,19,0.0
Vinh Long,1981-04-20,1981,4,20,0.4105328183475565
Vinh Long,1981-04-21,1981,4,21,3.454534945887089
Vinh Long,1981-04-22,1981,4,22,4.112943568375897
Vinh Long,1981-04-23,1981,4,23,0.0
Vinh Long,1981-04-24,1981,4,24,0.0
Vinh Long,1981-04-25,1981,4,25,0.0
Vinh Long,1981-04-26,1981,4,26,0.1271853896411082
Vinh Long,1981-04-27,1981,4,27,0.0
Vinh Long,1981-04-28,1981,4,28,0.0415655072196518
Vinh Long,1981-04-29,1981,4,29,1.5444368940959614
Vinh Long,1981-04-30,1981,4,30,1.8867538804248063
Vinh Long,1981-05-01,1981,5,1,0.0
Vinh Long,1981-05-02,1981,5,2,5.150347425872632
Vinh Long,1981-05-03,1981,5,3,7.690900116660749
Vinh Long,1981-05-04,1981,5,4,6.567083095656247
Vinh Long,1981-05-05,1981,5,5,0.0861418450973854
Vinh Long,1981-05-06,1981,5,6,5.350297705737942
Vinh Long,1981-05-07,1981,5,7,13.364646921479045
Vinh Long,1981-05-08,1981,5,8,6.460163939653878
Vinh Long,1981-05-09,1981,5,9,2.1406411900507742
Vinh Long,1981-05-10,1981,5,10,2.4099275664017554
Vinh Long,1981-05-11,1981,5,11,8.24622796099285
Vinh Long,1981-05-12,1981,5,12,3.902556937214596
Vinh Long,1981-05-13,1981,5,13,3.630057428924976
Vinh Long,1981-05-14,1981,5,14,0.0
Vinh Long,1981-05-15,1981,5,15,0.0
Vinh Long,1981-05-16,1981,5,16,5.858458783438686
Vinh Long,1981-05-17,1981,5,17,11.01533360236761
Vinh Long,1981-05-18,1981,5,18,7.327039386513874
Vinh Long,1981-05-19,1981,5,19,0.0546239491487037
Vinh Long,1981-05-20,1981,5,20,0.1791345850822388
Vinh Long,1981-05-21,1981,5,21,7.166196995409526
Vinh Long,1981-05-22,1981,5,22,3.9630937492696128
Vinh Long,1981-05-23,1981,5,23,0.5494827610532199
Vinh Long,1981-05-24,1981,5,24,2.708391118532032
Vinh Long,1981-05-25,1981,5,25,10.733678449079653
Vinh Long,1981-05-26,1981,5,26,4.024601507774173
Vinh Long,1981-05-27,1981,5,27,2.9706421540253007
Vinh Long,1981-05-28,1981,5,28,5.399590458479811
Vinh Long,1981-05-29,1981,5,29,12.392982692264264
Vinh Long,1981-05-30,1981,5,30,4.381475012131907
Vinh Long,1981-05-31,1981,5,31,0.3787218515516692
Vinh Long,1981-06-01,1981,6,1,1.140040967877043
Vinh Long,1981-06-02,1981,6,2,12.409720404237692
Vinh Long,1981-06-03,1981,6,3,8.06097814247838
Vinh Long,1981-06-04,1981,6,4,12.31621332828972
Vinh Long,1981-06-05,1981,6,5,8.09944210340738
Vinh Long,1981-06-06,1981,6,6,22.968517557196652
